Hotel,酒店,/m/03pty,32205630
Baidu,百度,/m/05mk8_,30077676
English Language,英语,/m/02h40lc,23928186
Company,公司,/m/03bxgrp,23845862
Hong Kong,香港,/m/03h64,23325716
Mobile phone,移动电话,/m/050k8,20266213
Film,电影,/m/02vxn,20245666
Automobile,汽车,/m/0k4j,20205324
Taichung,台中市,/m/01r8pt,20055077
Shanghai,上海市,/m/06wjf,19787414
Download,上载和下载,/m/0bm3b,19271852
Taiwan,台灣,/m/07dv8,18857969
Facebook,Facebook,/m/02y1vz,17359203
Taipei,台北市,/m/0ftkx,17199210
China,中国,/m/0d05w3,17056296
Kaohsiung,高雄市,/m/04bnx,16806168
The Internet,互联网,/m/03rlt,16729921
University,大学,/m/07tf8,16224294
Bank,银行,/m/017ql,16125871
Yahoo!,雅虎,/m/019rl6,16084442
Google,谷歌,/m/045c7b,15574038
Game,游戏,/m/034s7,15483454
Chinese Wikipedia,中文维基百科,/m/04gkkv,15091581
Pornographic film,色情片,/m/01jk9n,14664024
Taobao,淘宝网,/m/07s494n,14439037
Japan,日本,/m/03_3d,14436044
Android,Android,/m/02wxtgw,14306265
Lyrics,歌词,/m/09lgd,13263060
Video,视频,/m/07z4p,13081817
Website,网站,/m/085n4,13067695
Food,食品,/m/02wbm,13061563
Apple,蘋果公司,/m/0k8z,12876167
YouTube,YouTube,/m/09jcvs,12762539
Tainan,台南市,/m/02mw80,12736404
Tencent QQ,腾讯QQ,/m/02r91d,12606561
Beijing,北京,/m/01914,12466335
iPhone,IPhone,/m/027lnzs,12021173
Tower of saviors,神魔之塔,/m/0wymnq_,11793564
Translation,翻译,/m/07h26,11071985
Weather,天气,/m/0866r,10596751
Love,爱,/m/048knlz,10011715
Tourism,旅游,/m/07bxq,9881759
Coffee,咖啡,/m/02vqfm,9844811
Computer,电子计算机,/m/074j35,9712142
Music,音乐,/m/04rlf,9383748
Hospital,医院,/m/0hpnr,9343086
Pregnancy,妊娠,/m/05vqh7,9238459
Map,地图,/m/04_tb,9131721
Tea,茶,/m/07clx,8943004
Image,图像,/m/0jg24,8922185
Clothing,服装,/m/09j2d,8883404
Comics,漫画,/m/012h24,8555966
Woman,女性,/m/082lw,8341555
Man,男性,/m/04yx4,8309633
Hsinchu,新竹市,/m/01cfc7,8240471
Limited liability company,有限公司,/m/01prdc,8082117
Line,连我,/m/0k3msl2,8062187
Software,软件,/m/01mf0,7950387
League of Legends,英雄联盟,/m/04n3w2r,7578517
Song,歌曲,/m/074ft,7535855
South Korea,大韩民国,/m/06qd3,7469222
News,新闻,/m/05jhg,7401389
Chengyu,成语,/m/019gmf,7387723
Shoe,鞋,/m/06rrc,7296332
Sony Corporation,索尼,/m/06q07,7257665
Chinese language,汉语,/m/01r2l,7206952
School,学校,/m/06zdj,7140107
Sexual intercourse,性交,/m/06vp9,6999929
Restaurant,餐馆,/m/06l8d,6789512
iPhone 5,iPhone 5,/m/0gg4gh4,6613337
Train,铁路列车,/m/07jdr,6561195
Google Maps,Google地图,/m/055t58,6522582
Cat,猫,/m/01yrx,6443974
Physician,内科医师,/m/05t4q,6399918
Hair,头发,/m/03q69,6392842
Shenzhen,深圳市,/m/0lbmv,6392517
Design,设计,/m/02cwm,6318989
Guangzhou,广州市,/m/0393g,6307376
Windows 7,Windows 7,/m/05_30hd,6305725
Motorcycle,摩托车,/m/04_sv,6250662
United States of America,美国,/m/09c7w0,6232582
Hsinchu County,新竹县,/m/035d9_,6126390
Dog,犬,/m/0bt9lr,6071909
Education,教育,/m/02jfc,6020674
Fish,鱼,/m/0ch_cf,6011147
Month,月,/m/053jb,5951379
Telecommunications,电信,/m/029g_vk,5941978
Human sexual activity,人类性行为,/m/08_4ns,5912582
